2020年04月01日武汉天气,阴,18℃,82% 非常潮湿
2020年04月02日武汉天气,小雨,19℃,81% 非常潮湿
2020年04月03日武汉天气,雨,18℃,69% 潮湿
2020年04月04日武汉天气,阴,21℃,65% 潮湿
2020年04月05日武汉天气,阴,20℃,68% 潮湿
2020年04月06日武汉天气,阴,21℃,60% 湿润
2020年04月07日武汉天气,小雨,22℃,73% 潮湿
2020年04月08日武汉天气,阴,23℃,67% 潮湿
2020年04月09日武汉天气,阴,25℃,70% 潮湿
2020年04月10日武汉天气,暴雨,19℃,94% 非常潮湿
2020年04月11日武汉天气,阴,17℃,82% 非常潮湿
2020年04月12日武汉天气,阴,21℃,67% 潮湿
2020年04月13日武汉天气,阴,21℃,65% 潮湿
2020年04月14日武汉天气,阴,21℃,71% 潮湿
2020年04月15日武汉天气,阴,24℃,71% 潮湿
2020年04月16日武汉天气,多云,27℃,75% 非常潮湿
2020年04月17日武汉天气,晴,31℃,76% 非常潮湿
2020年04月18日武汉天气,大雨,23℃,72% 潮湿
2020年04月19日武汉天气,阴,21℃,67% 潮湿
2020年04月23日武汉天气,阴,23℃,72% 潮湿
2020年04月24日武汉天气,阴,24℃,61% 
2020年04月25日武汉天气,阴,26℃,58% 湿润
2020年04月26日武汉天气,阴,28℃,63% 潮湿
2020年04月27日武汉天气,晴,29℃,69% 潮湿
2020年04月28日武汉天气,多云,26℃,67% 潮湿
2020年04月29日武汉天气,晴,32℃,64% 潮湿
2020年04月30日武汉天气,小雨,29℃,84% 非常潮湿
2020年05月01日武汉天气,小雨,29℃,84% 非常潮湿
2020年05月02日武汉天气,多云,34℃,85% 非常潮湿
2020年05月03日武汉天气,多云,35℃,71% 潮湿
2020年05月04日武汉天气,阴,35℃,63% 潮湿
2020年05月05日武汉天气,大暴雨,27℃,93% 非常潮湿
2020年05月06日武汉天气,小雨,26℃,84% 非常潮湿
2020年05月07日武汉天气,小雨,28℃,90% 非常潮湿
2020年05月08日武汉天气,大暴雨,24℃,95% 非常潮湿
2020年05月09日武汉天气,小雨,21℃,79% 非常潮湿
2020年05月10日武汉天气,多云,28℃,83% 非常潮湿
2020年05月11日武汉天气,多云,27℃,66% 潮湿
2020年05月12日武汉天气,阴,29℃,51% 湿润
2020年05月13日武汉天气,阴,28℃,73% 潮湿
2020年05月14日武汉天气,大雨,22℃,93% 非常潮湿
2020年05月15日武汉天气,阴,28℃,91% 非常潮湿
2020年05月16日武汉天气,阴,31℃,91% 非常潮湿
2020年05月17日武汉天气,阴,32℃,82% 非常潮湿
2020年05月18日武汉天气,小雨,27℃,73% 潮湿
2020年05月19日武汉天气,阴,30℃,57% 湿润
2020年05月20日武汉天气,阴,29℃,60% 
2020年05月21日武汉天气,阴,23℃,74% 潮湿
2020年05月22日武汉天气,阴,31℃,84% 非常潮湿
2020年05月23日武汉天气,阴,33℃,71% 潮湿
2020年05月24日武汉天气,阴,33℃,52% 湿润
2020年05月25日武汉天气,小雨,24℃,81% 非常潮湿
2020年05月26日武汉天气,小雨,31℃,90% 非常潮湿
2020年05月27日武汉天气,阴,33℃,66% 潮湿
2020年05月28日武汉天气,阴,32℃,70% 潮湿
2020年05月29日武汉天气,中雨,25℃,90% 非常潮湿
2020年05月30日武汉天气,小雨,30℃,94% 非常潮湿
2020年05月31日武汉天气,小雨,32℃,80% 非常潮湿
2020年06月01日武汉天气,小雨,32℃,78% 非常潮湿
2020年06月02日武汉天气,中雨,32℃,81% 非常潮湿
2020年06月03日武汉天气,中雨,32℃,81% 非常潮湿
2020年06月04日武汉天气,多云,32℃,83% 非常潮湿
2020年06月05日武汉天气,小雨,34℃,77% 非常潮湿
2020年06月06日武汉天气,中雨,33℃,84% 非常潮湿
2020年06月07日武汉天气,阴,32℃,81% 非常潮湿
2020年06月08日武汉天气,阴,32℃,82% 非常潮湿
2020年06月09日武汉天气,中雨,34℃,90% 非常潮湿
2020年06月10日武汉天气,暴雨,33℃,90% 非常潮湿
2020年06月11日武汉天气,大暴雨,33℃,89% 非常潮湿
2020年06月12日武汉天气,特大暴雨,暴2℃,89% 非常潮湿
2020年06月13日武汉天气,特大暴雨,暴3℃,91% 非常潮湿
2020年06月14日武汉天气,暴雨,28℃,94% 非常潮湿
2020年06月15日武汉天气,暴雨,34℃,92% 非常潮湿
2020年06月16日武汉天气,暴雨,34℃,82% 非常潮湿
2020年06月17日武汉天气,小雨,34℃,72% 潮湿
2020年06月18日武汉天气,暴雨,24℃,91% 非常潮湿
2020年06月19日武汉天气,小雨,26℃,88% 非常潮湿
2020年06月20日武汉天气,中雨,24℃,93% 非常潮湿
2020年06月21日武汉天气,暴雨,22℃,96% 非常潮湿
2020年06月22日武汉天气,暴雨,24℃,96% 非常潮湿
2020年06月23日武汉天气,暴雨,29℃,93% 非常潮湿
2020年06月24日武汉天气,阴,29℃,90% 非常潮湿
2020年06月25日武汉天气,多云,32℃,89% 非常潮湿
2020年06月26日武汉天气,中雨,32℃,95% 非常潮湿
2020年06月27日武汉天气,暴雨,30℃,94% 非常潮湿
2020年06月28日武汉天气,暴雨,28℃,87% 非常潮湿
2020年06月29日武汉天气,特大暴雨,暴2℃,96% 非常潮湿
2020年06月30日武汉天气,多云,32℃,92% 非常潮湿
2020年04月01日上海天气,小雨,18℃,81% 非常潮湿
2020年04月02日上海天气,阴,17℃,69% 潮湿
2020年04月03日上海天气,阴,19℃,64% 潮湿
2020年04月04日上海天气,阴,21℃,66% 潮湿
2020年04月05日上海天气,阴,16℃,61% 潮湿
2020年04月06日上海天气,阴,16℃,59% 湿润
2020年04月07日上海天气,阴,19℃,68% 潮湿
2020年04月08日上海天气,阴,18℃,69% 潮湿
2020年04月09日上海天气,阴,18℃,81% 非常潮湿
2020年04月10日上海天气,大雨,16℃,96% 非常潮湿
2020年04月11日上海天气,大暴雨,16℃,97% 非常潮湿
2020年04月12日上海天气,多云,19℃,68% 潮湿
2020年04月13日上海天气,阴,16℃,54% 湿润
2020年04月14日上海天气,大雨,19℃,63% 潮湿
2020年04月15日上海天气,晴,23℃,76% 非常潮湿
2020年04月16日上海天气,多云,23℃,62% 潮湿
2020年04月17日上海天气,晴,25℃,75% 非常潮湿
2020年04月18日上海天气,暴雨,19℃,82% 非常潮湿
2020年04月19日上海天气,阴,22℃,37% 干燥
2020年04月23日上海天气,阴,21℃,77% 非常潮湿
2020年04月24日上海天气,阴,23℃,65% 潮湿
2020年04月25日上海天气,阴,26℃,61% 
2020年04月26日上海天气,阴,24℃,73% 潮湿
2020年04月27日上海天气,中雨,21℃,77% 非常潮湿
2020年04月28日上海天气,晴,21℃,58% 湿润
2020年04月29日上海天气,多云,24℃,82% 非常潮湿
2020年04月30日上海天气,阴,29℃,80% 非常潮湿
2020年05月01日上海天气,小雨,22℃,86% 非常潮湿
2020年05月02日上海天气,大雨,28℃,90% 非常潮湿
2020年05月03日上海天气,中雨,35℃,86% 非常潮湿
2020年05月04日上海天气,阴,31℃,81% 非常潮湿
2020年05月05日上海天气,小雨,24℃,87% 非常潮湿
2020年05月06日上海天气,小雨,26℃,87% 非常潮湿
2020年05月07日上海天气,多云,24℃,87% 非常潮湿
2020年05月08日上海天气,中雨,25℃,89% 非常潮湿
2020年05月09日上海天气,中雨,27℃,80% 非常潮湿
2020年05月10日上海天气,小雨,28℃,78% 非常潮湿
2020年05月11日上海天气,多云,26℃,83% 非常潮湿
2020年05月12日上海天气,阴,30℃,50% 湿润
2020年05月13日上海天气,阴,26℃,63% 潮湿
2020年05月14日上海天气,中雨,22℃,90% 非常潮湿
2020年05月15日上海天气,中雨,30℃,88% 非常潮湿
2020年05月16日上海天气,大暴雨,28℃,89% 非常潮湿
2020年05月17日上海天气,阴,32℃,86% 非常潮湿
2020年05月18日上海天气,小雨,30℃,82% 非常潮湿
2020年05月19日上海天气,多云,29℃,47% 湿润
2020年05月20日上海天气,阴,28℃,61% 
2020年05月21日上海天气,阴,25℃,67% 潮湿
2020年05月22日上海天气,阴,25℃,76% 非常潮湿
2020年05月23日上海天气,阴,27℃,83% 非常潮湿
2020年05月24日上海天气,阴,31℃,89% 非常潮湿
2020年05月25日上海天气,小雨,29℃,80% 非常潮湿
2020年05月26日上海天气,大暴雨,21℃,85% 非常潮湿
2020年05月27日上海天气,阴,28℃,80% 非常潮湿
2020年05月28日上海天气,阴,33℃,74% 
2020年05月29日上海天气,小雨,26℃,67% 潮湿
2020年05月30日上海天气,大暴雨,21℃,90% 非常潮湿
2020年05月31日上海天气,小雨,31℃,95% 非常潮湿
2020年06月01日上海天气,阴,30℃,75% 
2020年06月02日上海天气,阴,31℃,81% 非常潮湿
2020年06月03日上海天气,大暴雨,25℃,89% 非常潮湿
2020年06月04日上海天气,阴,29℃,84% 非常潮湿
2020年06月05日上海天气,大雨,27℃,88% 非常潮湿
2020年06月06日上海天气,大雨,25℃,90% 非常潮湿
2020年06月07日上海天气,阴,27℃,82% 非常潮湿
2020年06月08日上海天气,大雨,27℃,88% 非常潮湿
2020年06月09日上海天气,暴雨,30℃,90% 非常潮湿
2020年06月10日上海天气,暴雨,31℃,89% 非常潮湿
2020年06月11日上海天气,阴,31℃,84% 非常潮湿
2020年06月12日上海天气,暴雨,35℃,77% 非常潮湿
2020年06月13日上海天气,暴雨,29℃,86% 非常潮湿
2020年06月14日上海天气,大雨,33℃,81% 非常潮湿
2020年06月15日上海天气,大暴雨,30℃,93% 非常潮湿
2020年06月16日上海天气,特大暴雨,暴2℃,92% 非常潮湿
2020年06月17日上海天气,中雨,31℃,91% 非常潮湿
2020年06月18日上海天气,中雨,34℃,74% 潮湿
2020年06月19日上海天气,大雨,29℃,76% 非常潮湿
2020年06月20日上海天气,暴雨,23℃,88% 非常潮湿
2020年06月21日上海天气,暴雨,23℃,92% 非常潮湿
2020年06月22日上海天气,中雨,26℃,90% 非常潮湿
2020年06月23日上海天气,大雨,27℃,91% 非常潮湿
2020年06月24日上海天气,大雨,31℃,88% 非常潮湿
2020年06月25日上海天气,大暴雨,28℃,93% 非常潮湿
2020年06月26日上海天气,阴,30℃,93% 非常潮湿
2020年06月27日上海天气,大雨,30℃,84% 非常潮湿
2020年06月28日上海天气,大暴雨,26℃,92% 非常潮湿
2020年06月29日上海天气,暴雨,28℃,93% 非常潮湿
2020年06月30日上海天气,大雨,31℃,73% 潮湿
2020年04月01日北京天气,阴,16℃,37% 干燥
2020年04月02日北京天气,晴,20℃,38% 干燥
2020年04月03日北京天气,晴,24℃,19% 非常干燥
2020年04月04日北京天气,晴,18℃,20% 非常干燥
2020年04月05日北京天气,阴,20℃,32% 干燥
2020年04月06日北京天气,小雨,24℃,40% 
2020年04月07日北京天气,小雨,18℃,33% 干燥
2020年04月08日北京天气,阴,19℃,28% 非常干燥
2020年04月09日北京天气,小雨,10℃,62% 潮湿
2020年04月10日北京天气,中雨,14℃,73% 潮湿
2020年04月11日北京天气,晴,22℃,56% 湿润
2020年04月12日北京天气,晴,22℃,37% 干燥
2020年04月13日北京天气,阴,24℃,35% 干燥
2020年04月14日北京天气,多云,28℃,39% 
2020年04月15日北京天气,多云,27℃,34% 干燥
2020年04月16日北京天气,阴,28℃,31% 
2020年04月17日北京天气,大雨,19℃,52% 湿润
2020年04月18日北京天气,晴,19℃,13% 非常干燥
2020年04月19日北京天气,晴,20℃,23% 非常干燥
2020年04月23日北京天气,晴,19℃,12% 非常干燥
2020年04月24日北京天气,多云,29℃,15% 非常干燥
2020年04月25日北京天气,阴,22℃,18% 非常干燥
2020年04月26日北京天气,阴,25℃,20% 非常干燥
2020年04月27日北京天气,多云,27℃,36% 干燥
2020年04月28日北京天气,晴,31℃,26% 非常干燥
2020年04月29日北京天气,阴,33℃,28% 非常干燥
2020年04月30日北京天气,阴,37℃,40% 湿润
2020年05月01日北京天气,晴,38℃,37% 干燥
2020年05月02日北京天气,晴,36℃,60% 
2020年05月03日北京天气,雨,31℃,73% 潮湿
2020年05月04日北京天气,阴,21℃,75% 
2020年05月05日北京天气,阴,29℃,81% 非常潮湿
2020年05月06日北京天气,阴,29℃,54% 湿润
2020年05月07日北京天气,阴,22℃,77% 非常潮湿
2020年05月08日北京天气,大雨,15℃,85% 非常潮湿
2020年05月09日北京天气,阴,26℃,69% 潮湿
2020年05月10日北京天气,阴,27℃,63% 潮湿
2020年05月11日北京天气,阴,30℃,22% 非常干燥
2020年05月12日北京天气,多云,30℃,20% 非常干燥
2020年05月13日北京天气,阴,32℃,26% 非常干燥
2020年05月14日北京天气,阴,32℃,53% 湿润
2020年05月15日北京天气,小雨,24℃,79% 非常潮湿
2020年05月16日北京天气,中雨,28℃,79% 非常潮湿
2020年05月17日北京天气,阴,23℃,27% 非常干燥
2020年05月18日北京天气,多云,28℃,26% 非常干燥
2020年05月19日北京天气,多云,31℃,39% 干燥
2020年05月20日北京天气,小雨,33℃,53% 湿润
2020年05月21日北京天气,大雨,26℃,79% 非常潮湿
2020年05月22日北京天气,小雨,32℃,77% 非常潮湿
2020年05月23日北京天气,小雨,29℃,63% 潮湿
2020年05月24日北京天气,多云,31℃,44% 湿润
2020年05月25日北京天气,小雨,31℃,61% 
2020年05月26日北京天气,阴,30℃,47% 湿润
2020年05月27日北京天气,多云,31℃,39% 干燥
2020年05月28日北京天气,多云,37℃,57% 湿润
2020年05月29日北京天气,小雨,35℃,56% 湿润
2020年05月30日北京天气,小雨,33℃,57% 湿润
2020年05月31日北京天气,中雨,30℃,62% 潮湿
2020年06月01日北京天气,小雨,35℃,60% 湿润
2020年06月02日北京天气,小雨,37℃,60% 湿润
2020年06月03日北京天气,多云,36℃,27% 非常干燥
2020年06月04日北京天气,多云,35℃,37% 干燥
2020年06月05日北京天气,小雨,33℃,42% 湿润
2020年06月06日北京天气,晴,35℃,38% 干燥
2020年06月07日北京天气,阴,39℃,41% 湿润
2020年06月08日北京天气,阴,40℃,31% 
2020年06月09日北京天气,阴,34℃,50% 湿润
2020年06月10日北京天气,阴,36℃,59% 湿润
2020年06月11日北京天气,阴,39℃,64% 潮湿
2020年06月12日北京天气,阴,36℃,73% 潮湿
2020年06月13日北京天气,小雨,35℃,65% 潮湿
2020年06月14日北京天气,晴,36℃,32% 干燥
2020年06月15日北京天气,阴,40℃,25% 非常干燥
2020年06月16日北京天气,多云,39℃,32% 干燥
2020年06月17日北京天气,阴,35℃,41% 湿润
2020年06月18日北京天气,小雨,35℃,63% 潮湿
2020年06月19日北京天气,阴,36℃,52% 湿润
2020年06月20日北京天气,小雨,38℃,40% 
2020年06月21日北京天气,中雨,39℃,45% 湿润
2020年06月22日北京天气,阴,37℃,42% 湿润
2020年06月23日北京天气,雨,35℃,53% 湿润
2020年06月24日北京天气,中雨,35℃,73% 潮湿
2020年06月25日北京天气,中雨,33℃,66% 潮湿
2020年06月26日北京天气,中雨,35℃,68% 潮湿
2020年06月27日北京天气,小雨,37℃,73% 潮湿
2020年06月28日北京天气,阴,36℃,57% 湿润
2020年06月29日北京天气,雨,34℃,50% 湿润
2020年06月30日北京天气,阴,37℃,44% 湿润
